t,x,y,z,heading,roll,task,state
0.000,7.0000,7.8978,0.1000,0.00,0.00,WAITING,Press Start to begin
0.050,7.0000,7.8978,0.0997,0.00,0.00,WAITING,Press Start to begin
0.067,7.0000,7.8978,0.0995,0.00,0.00,WAITING,Press Start to begin
0.082,7.0000,7.8978,0.0994,0.00,0.00,WAITING,Press Start to begin
0.098,7.0000,7.8978,0.0992,0.00,0.00,WAITING,Press Start to begin
0.114,7.0000,7.8978,0.0990,0.00,0.00,WAITING,Press Start to begin
0.130,7.0000,7.8978,0.0988,0.00,0.00,WAITING,Press Start to begin
0.146,7.0000,7.8978,0.0986,0.00,0.00,WAITING,Press Start to begin
0.162,7.0000,7.8978,0.0983,0.00,0.00,WAITING,Press Start to begin
0.178,7.0000,7.8978,0.0981,0.00,0.00,WAITING,Press Start to begin
0.195,7.0000,7.8978,0.0977,0.00,0.00,WAITING,Press Start to begin
0.210,7.0000,7.8978,0.0974,0.00,0.00,WAITING,Press Start to begin
0.227,7.0000,7.8978,0.0971,0.00,0.00,WAITING,Press Start to begin
0.242,7.0000,7.8978,0.0967,0.00,0.00,WAITING,Press Start to begin
0.259,7.0000,7.8978,0.0963,0.00,0.00,WAITING,Press Start to begin
0.275,7.0000,7.8978,0.0959,0.00,0.00,WAITING,Press Start to begin
0.292,7.0000,7.8978,0.0954,0.00,0.00,WAITING,Press Start to begin
0.308,7.0000,7.8978,0.0949,0.00,0.00,WAITING,Press Start to begin
0.324,7.0000,7.8978,0.0944,0.00,0.00,WAITING,Press Start to begin
0.341,7.0000,7.8978,0.0939,0.00,0.00,WAITING,Press Start to begin
0.357,7.0000,7.8978,0.0934,0.00,0.00,WAITING,Press Start to begin
0.373,7.0000,7.8978,0.0928,0.00,0.00,WAITING,Press Start to begin
0.390,7.0000,7.8978,0.0923,0.00,0.00,WAITING,Press Start to begin
0.405,7.0000,7.8978,0.0917,0.00,0.00,WAITING,Press Start to begin
0.422,7.0000,7.8978,0.0911,0.00,0.00,WAITING,Press Start to begin
0.437,7.0000,7.8978,0.0904,0.00,0.00,WAITING,Press Start to begin
0.454,7.0000,7.8978,0.0897,0.00,0.00,WAITING,Press Start to begin
0.470,7.0000,7.8978,0.0891,0.00,0.00,WAITING,Press Start to begin
0.486,7.0000,7.8978,0.0884,0.00,0.00,WAITING,Press Start to begin
0.502,7.0000,7.8978,0.0877,0.00,0.00,WAITING,Press Start to begin
0.518,7.0000,7.8978,0.0869,0.00,0.00,WAITING,Press Start to begin
0.564,7.0000,7.8978,0.0847,0.00,0.00,WAITING,Press Start to begin
0.581,7.0000,7.8978,0.0838,0.00,0.00,WAITING,Press Start to begin
0.597,7.0000,7.8978,0.0830,0.00,0.00,WAITING,Press Start to begin
0.614,7.0000,7.8978,0.0821,0.00,0.00,WAITING,Press Start to begin
0.630,7.0000,7.8978,0.0812,0.00,0.00,WAITING,Press Start to begin
0.646,7.0000,7.8978,0.0804,0.00,0.00,WAITING,Press Start to begin
0.662,7.0000,7.8978,0.0795,0.00,0.00,WAITING,Press Start to begin
0.678,7.0000,7.8978,0.0786,0.00,0.00,WAITING,Press Start to begin
0.694,7.0000,7.8978,0.0776,0.00,0.00,WAITING,Press Start to begin
0.710,7.0000,7.8978,0.0766,0.00,0.00,WAITING,Press Start to begin
0.726,7.0000,7.8978,0.0756,0.00,0.00,WAITING,Press Start to begin
0.743,7.0000,7.8978,0.0746,0.00,0.00,WAITING,Press Start to begin
0.759,7.0000,7.8978,0.0736,0.00,0.00,WAITING,Press Start to begin
0.775,7.0000,7.8978,0.0726,0.00,0.00,WAITING,Press Start to begin
0.791,7.0000,7.8978,0.0716,0.00,0.00,WAITING,Press Start to begin
0.807,7.0000,7.8978,0.0706,0.00,0.00,WAITING,Press Start to begin
0.823,7.0000,7.8978,0.0695,0.00,0.00,WAITING,Press Start to begin
0.840,7.0000,7.8978,0.0684,0.00,0.00,WAITING,Press Start to begin
0.856,7.0000,7.8978,0.0674,0.00,0.00,WAITING,Press Start to begin
0.873,7.0000,7.8978,0.0663,0.00,0.00,WAITING,Press Start to begin
0.888,7.0000,7.8978,0.0652,0.00,0.00,WAITING,Press Start to begin
0.905,7.0000,7.8978,0.0640,0.00,0.00,WAITING,Press Start to begin
0.920,7.0000,7.8978,0.0629,0.00,0.00,WAITING,Press Start to begin
0.937,7.0000,7.8978,0.0618,0.00,0.00,WAITING,Press Start to begin
0.952,7.0000,7.8978,0.0606,0.00,0.00,WAITING,Press Start to begin
0.968,7.0000,7.8978,0.0594,0.00,0.00,WAITING,Press Start to begin
0.984,7.0000,7.8978,0.0582,0.00,0.00,WAITING,Press Start to begin
1.000,7.0000,7.8978,0.0570,0.00,0.00,WAITING,Press Start to begin
1.016,7.0000,7.8978,0.0558,0.00,0.00,WAITING,Press Start to begin
1.032,7.0000,7.8978,0.0546,0.00,0.00,WAITING,Press Start to begin
