t,x,y,z,heading,roll,task,state
0.000,7.0000,7.6550,0.1000,0.00,0.00,WAITING,Press Start to begin
0.053,7.0000,7.6550,0.0996,0.00,0.00,WAITING,Press Start to begin
0.069,7.0000,7.6550,0.0995,0.00,0.00,WAITING,Press Start to begin
0.085,7.0000,7.6550,0.0994,0.00,0.00,WAITING,Press Start to begin
0.101,7.0000,7.6550,0.0992,0.00,0.00,WAITING,Press Start to begin
0.117,7.0000,7.6550,0.0990,0.00,0.00,WAITING,Press Start to begin
0.133,7.0000,7.6550,0.0988,0.00,0.00,WAITING,Press Start to begin
0.149,7.0000,7.6550,0.0985,0.00,0.00,WAITING,Press Start to begin
0.165,7.0000,7.6550,0.0983,0.00,0.00,WAITING,Press Start to begin
0.180,7.0000,7.6550,0.0980,0.00,0.00,WAITING,Press Start to begin
0.197,7.0000,7.6550,0.0977,0.00,0.00,WAITING,Press Start to begin
0.212,7.0000,7.6550,0.0973,0.00,0.00,WAITING,Press Start to begin
0.229,7.0000,7.6550,0.0970,0.00,0.00,WAITING,Press Start to begin
0.245,7.0000,7.6550,0.0966,0.00,0.00,WAITING,Press Start to begin
0.261,7.0000,7.6550,0.0962,0.00,0.00,WAITING,Press Start to begin
0.277,7.0000,7.6550,0.0958,0.00,0.00,WAITING,Press Start to begin
0.293,7.0000,7.6550,0.0954,0.00,0.00,WAITING,Press Start to begin
0.309,7.0000,7.6550,0.0949,0.00,0.00,WAITING,Press Start to begin
0.325,7.0000,7.6550,0.0944,0.00,0.00,WAITING,Press Start to begin
0.340,7.0000,7.6550,0.0939,0.00,0.00,WAITING,Press Start to begin
0.357,7.0000,7.6550,0.0934,0.00,0.00,WAITING,Press Start to begin
0.373,7.0000,7.6550,0.0928,0.00,0.00,WAITING,Press Start to begin
0.389,7.0000,7.6550,0.0923,0.00,0.00,WAITING,Press Start to begin
0.405,7.0000,7.6550,0.0917,0.00,0.00,WAITING,Press Start to begin
0.421,7.0000,7.6550,0.0911,0.00,0.00,WAITING,Press Start to begin
0.436,7.0000,7.6550,0.0904,0.00,0.00,WAITING,Press Start to begin
0.453,7.0000,7.6550,0.0898,0.00,0.00,WAITING,Press Start to begin
0.469,7.0000,7.6550,0.0891,0.00,0.00,WAITING,Press Start to begin
0.485,7.0000,7.6550,0.0884,0.00,0.00,WAITING,Press Start to begin
0.500,7.0000,7.6550,0.0877,0.00,0.00,WAITING,Press Start to begin
0.517,7.0000,7.6550,0.0870,0.00,0.00,WAITING,Press Start to begin
