t,x,y,z,heading,roll,task,state
0.000,7.0000,7.9410,0.1000,0.00,0.00,WAITING,Press Start to begin
0.064,7.0000,7.9410,0.0995,0.00,0.00,WAITING,Press Start to begin
0.081,7.0000,7.9410,0.0994,0.00,0.00,WAITING,Press Start to begin
0.096,7.0000,7.9410,0.0992,0.00,0.00,WAITING,Press Start to begin
0.112,7.0000,7.9410,0.0990,0.00,0.00,WAITING,Press Start to begin
0.128,7.0000,7.9410,0.0988,0.00,0.00,WAITING,Press Start to begin
0.144,7.0000,7.9410,0.0986,0.00,0.00,WAITING,Press Start to begin
0.159,7.0000,7.9410,0.0983,0.00,0.00,WAITING,Press Start to begin
0.176,7.0000,7.9410,0.0980,0.00,0.00,WAITING,Press Start to begin
0.192,7.0000,7.9410,0.0977,0.00,0.00,WAITING,Press Start to begin
0.208,7.0000,7.9410,0.0974,0.00,0.00,WAITING,Press Start to begin
0.223,7.0000,7.9410,0.0971,0.00,0.00,WAITING,Press Start to begin
0.240,7.0000,7.9410,0.0967,0.00,0.00,WAITING,Press Start to begin
0.256,7.0000,7.9410,0.0963,0.00,0.00,WAITING,Press Start to begin
0.272,7.0000,7.9410,0.0959,0.00,0.00,WAITING,Press Start to begin
0.287,7.0000,7.9410,0.0954,0.00,0.00,WAITING,Press Start to begin
0.304,7.0000,7.9410,0.0950,0.00,0.00,WAITING,Press Start to begin
0.320,7.0000,7.9410,0.0945,0.00,0.00,WAITING,Press Start to begin
0.336,7.0000,7.9410,0.0940,0.00,0.00,WAITING,Press Start to begin
0.351,7.0000,7.9410,0.0935,0.00,0.00,WAITING,Press Start to begin
0.368,7.0000,7.9410,0.0929,0.00,0.00,WAITING,Press Start to begin
0.384,7.0000,7.9410,0.0924,0.00,0.00,WAITING,Press Start to begin
0.400,7.0000,7.9410,0.0918,0.00,0.00,WAITING,Press Start to begin
0.415,7.0000,7.9410,0.0912,0.00,0.00,WAITING,Press Start to begin
0.432,7.0000,7.9410,0.0906,0.00,0.00,WAITING,Press Start to begin
0.448,7.0000,7.9410,0.0899,0.00,0.00,WAITING,Press Start to begin
0.464,7.0000,7.9410,0.0893,0.00,0.00,WAITING,Press Start to begin
0.479,7.0000,7.9410,0.0886,0.00,0.00,WAITING,Press Start to begin
0.496,7.0000,7.9410,0.0879,0.00,0.00,WAITING,Press Start to begin
0.512,7.0000,7.9410,0.0871,0.00,0.00,WAITING,Press Start to begin
0.560,7.0000,7.9410,0.0848,0.00,0.00,WAITING,Press Start to begin
0.576,7.0000,7.9410,0.0840,0.00,0.00,WAITING,Press Start to begin
0.592,7.0000,7.9410,0.0832,0.00,0.00,WAITING,Press Start to begin
0.607,7.0000,7.9410,0.0824,0.00,0.00,WAITING,Press Start to begin
0.624,7.0000,7.9410,0.0815,0.00,0.00,WAITING,Press Start to begin
0.639,7.0000,7.9410,0.0806,0.00,0.00,WAITING,Press Start to begin
0.657,7.0000,7.9410,0.0796,0.00,0.00,WAITING,Press Start to begin
0.673,7.0000,7.9410,0.0787,0.00,0.00,WAITING,Press Start to begin
0.689,7.0000,7.9410,0.0778,0.00,0.00,WAITING,Press Start to begin
0.704,7.0000,7.9410,0.0769,0.00,0.00,WAITING,Press Start to begin
0.721,7.0000,7.9410,0.0759,0.00,0.00,WAITING,Press Start to begin
0.737,7.0000,7.9410,0.0749,0.00,0.00,WAITING,Press Start to begin
0.753,7.0000,7.9410,0.0739,0.00,0.00,WAITING,Press Start to begin
0.769,7.0000,7.9410,0.0729,0.00,0.00,WAITING,Press Start to begin
0.785,7.0000,7.9410,0.0719,0.00,0.00,WAITING,Press Start to begin
0.800,7.0000,7.9410,0.0709,0.00,0.00,WAITING,Press Start to begin
0.817,7.0000,7.9410,0.0698,0.00,0.00,WAITING,Press Start to begin
0.833,7.0000,7.9410,0.0688,0.00,0.00,WAITING,Press Start to begin
0.849,7.0000,7.9410,0.0678,0.00,0.00,WAITING,Press Start to begin
0.864,7.0000,7.9410,0.0667,0.00,0.00,WAITING,Press Start to begin
0.881,7.0000,7.9410,0.0656,0.00,0.00,WAITING,Press Start to begin
0.897,7.0000,7.9410,0.0645,0.00,0.00,WAITING,Press Start to begin
0.913,7.0000,7.9410,0.0633,0.00,0.00,WAITING,Press Start to begin
0.928,7.0000,7.9410,0.0622,0.00,0.00,WAITING,Press Start to begin
0.945,7.0000,7.9410,0.0610,0.00,0.00,WAITING,Press Start to begin
0.961,7.0000,7.9410,0.0599,0.00,0.00,WAITING,Press Start to begin
0.977,7.0000,7.9410,0.0587,0.00,0.00,WAITING,Press Start to begin
0.992,7.0000,7.9410,0.0575,0.00,0.00,WAITING,Press Start to begin
1.009,7.0000,7.9410,0.0563,0.00,0.00,WAITING,Press Start to begin
1.025,7.0000,7.9410,0.0551,0.00,0.00,WAITING,Press Start to begin
1.073,7.0000,7.9410,0.0513,0.00,0.00,WAITING,Press Start to begin
1.089,7.0000,7.9410,0.0501,0.00,0.00,WAITING,Press Start to begin
1.105,7.0000,7.9410,0.0488,0.00,0.00,WAITING,Press Start to begin
1.120,7.0000,7.9410,0.0475,0.00,0.00,WAITING,Press Start to begin
1.137,7.0000,7.9410,0.0462,0.00,0.00,WAITING,Press Start to begin
1.153,7.0000,7.9410,0.0449,0.00,0.00,WAITING,Press Start to begin
1.169,7.0000,7.9410,0.0436,0.00,0.00,WAITING,Press Start to begin
1.185,7.0000,7.9410,0.0422,0.00,0.00,WAITING,Press Start to begin
1.202,7.0000,7.9410,0.0409,0.00,0.00,WAITING,Press Start to begin
1.217,7.0000,7.9410,0.0395,0.00,0.00,WAITING,Press Start to begin
1.234,7.0000,7.9410,0.0382,0.00,0.00,WAITING,Press Start to begin
1.250,7.0000,7.9410,0.0368,0.00,0.00,WAITING,Press Start to begin
1.266,7.0000,7.9410,0.0354,0.00,0.00,WAITING,Press Start to begin
1.282,7.0000,7.9410,0.0341,0.00,0.00,WAITING,Press Start to begin
1.298,7.0000,7.9410,0.0327,0.00,0.00,WAITING,Press Start to begin
1.313,7.0000,7.9410,0.0313,0.00,0.00,WAITING,Press Start to begin
1.330,7.0000,7.9410,0.0299,0.00,0.00,WAITING,Press Start to begin
1.345,7.0000,7.9410,0.0285,0.00,0.00,WAITING,Press Start to begin
1.362,7.0000,7.9410,0.0271,0.00,0.00,WAITING,Press Start to begin
1.378,7.0000,7.9410,0.0256,0.00,0.00,WAITING,Press Start to begin
1.394,7.0000,7.9410,0.0242,0.00,0.00,WAITING,Press Start to begin
1.410,7.0000,7.9410,0.0228,0.00,0.00,WAITING,Press Start to begin
1.426,7.0000,7.9410,0.0213,0.00,0.00,WAITING,Press Start to begin
1.441,7.0000,7.9410,0.0199,0.00,0.00,WAITING,Press Start to begin
