t,x,y,z,heading,roll,task,state
0.000,7.0000,7.8996,0.1000,0.00,0.00,WAITING,Press Start to begin
0.051,7.0000,7.8996,0.0996,0.00,0.00,WAITING,Press Start to begin
0.067,7.0000,7.8996,0.0995,0.00,0.00,WAITING,Press Start to begin
0.083,7.0000,7.8996,0.0994,0.00,0.00,WAITING,Press Start to begin
0.100,7.0000,7.8996,0.0992,0.00,0.00,WAITING,Press Start to begin
0.115,7.0000,7.8996,0.0990,0.00,0.00,WAITING,Press Start to begin
0.132,7.0000,7.8996,0.0988,0.00,0.00,WAITING,Press Start to begin
0.147,7.0000,7.8996,0.0986,0.00,0.00,WAITING,Press Start to begin
0.163,7.0000,7.8996,0.0983,0.00,0.00,WAITING,Press Start to begin
0.179,7.0000,7.8996,0.0980,0.00,0.00,WAITING,Press Start to begin
0.196,7.0000,7.8996,0.0977,0.00,0.00,WAITING,Press Start to begin
0.211,7.0000,7.8996,0.0974,0.00,0.00,WAITING,Press Start to begin
0.228,7.0000,7.8996,0.0970,0.00,0.00,WAITING,Press Start to begin
0.243,7.0000,7.8996,0.0966,0.00,0.00,WAITING,Press Start to begin
0.259,7.0000,7.8996,0.0962,0.00,0.00,WAITING,Press Start to begin
0.275,7.0000,7.8996,0.0958,0.00,0.00,WAITING,Press Start to begin
0.291,7.0000,7.8996,0.0954,0.00,0.00,WAITING,Press Start to begin
0.307,7.0000,7.8996,0.0949,0.00,0.00,WAITING,Press Start to begin
0.324,7.0000,7.8996,0.0944,0.00,0.00,WAITING,Press Start to begin
0.340,7.0000,7.8996,0.0939,0.00,0.00,WAITING,Press Start to begin
0.356,7.0000,7.8996,0.0934,0.00,0.00,WAITING,Press Start to begin
0.372,7.0000,7.8996,0.0928,0.00,0.00,WAITING,Press Start to begin
0.389,7.0000,7.8996,0.0923,0.00,0.00,WAITING,Press Start to begin
0.404,7.0000,7.8996,0.0917,0.00,0.00,WAITING,Press Start to begin
0.421,7.0000,7.8996,0.0911,0.00,0.00,WAITING,Press Start to begin
0.436,7.0000,7.8996,0.0904,0.00,0.00,WAITING,Press Start to begin
0.452,7.0000,7.8996,0.0898,0.00,0.00,WAITING,Press Start to begin
0.468,7.0000,7.8996,0.0891,0.00,0.00,WAITING,Press Start to begin
0.484,7.0000,7.8996,0.0884,0.00,0.00,WAITING,Press Start to begin
0.500,7.0000,7.8996,0.0877,0.00,0.00,WAITING,Press Start to begin
0.517,7.0000,7.8996,0.0870,0.00,0.00,WAITING,Press Start to begin
0.563,7.0000,7.8996,0.0847,0.00,0.00,WAITING,Press Start to begin
0.580,7.0000,7.8996,0.0839,0.00,0.00,WAITING,Press Start to begin
0.595,7.0000,7.8996,0.0830,0.00,0.00,WAITING,Press Start to begin
0.612,7.0000,7.8996,0.0821,0.00,0.00,WAITING,Press Start to begin
