t,x,y,z,heading,roll,task,state
0.000,7.0000,7.0832,0.1000,0.00,0.00,WAITING,Press Start to begin
0.054,7.0000,7.0832,0.0996,0.00,0.00,WAITING,Press Start to begin
0.070,7.0000,7.0832,0.0995,0.00,0.00,WAITING,Press Start to begin
0.086,7.0000,7.0832,0.0993,0.00,0.00,WAITING,Press Start to begin
0.102,7.0000,7.0832,0.0992,0.00,0.00,WAITING,Press Start to begin
0.118,7.0000,7.0832,0.0990,0.00,0.00,WAITING,Press Start to begin
0.134,7.0000,7.0832,0.0988,0.00,0.00,WAITING,Press Start to begin
0.150,7.0000,7.0832,0.0985,0.00,0.00,WAITING,Press Start to begin
0.166,7.0000,7.0832,0.0982,0.00,0.00,WAITING,Press Start to begin
0.182,7.0000,7.0832,0.0979,0.00,0.00,WAITING,Press Start to begin
0.199,7.0000,7.0832,0.0976,0.00,0.00,WAITING,Press Start to begin
0.214,7.0000,7.0832,0.0973,0.00,0.00,WAITING,Press Start to begin
0.231,7.0000,7.0832,0.0969,0.00,0.00,WAITING,Press Start to begin
0.247,7.0000,7.0832,0.0965,0.00,0.00,WAITING,Press Start to begin
0.263,7.0000,7.0832,0.0961,0.00,0.00,WAITING,Press Start to begin
0.278,7.0000,7.0832,0.0957,0.00,0.00,WAITING,Press Start to begin
0.295,7.0000,7.0832,0.0953,0.00,0.00,WAITING,Press Start to begin
0.311,7.0000,7.0832,0.0948,0.00,0.00,WAITING,Press Start to begin
0.327,7.0000,7.0832,0.0943,0.00,0.00,WAITING,Press Start to begin
0.342,7.0000,7.0832,0.0938,0.00,0.00,WAITING,Press Start to begin
0.359,7.0000,7.0832,0.0932,0.00,0.00,WAITING,Press Start to begin
0.376,7.0000,7.0832,0.0927,0.00,0.00,WAITING,Press Start to begin
0.392,7.0000,7.0832,0.0921,0.00,0.00,WAITING,Press Start to begin
0.407,7.0000,7.0832,0.0915,0.00,0.00,WAITING,Press Start to begin
0.424,7.0000,7.0832,0.0909,0.00,0.00,WAITING,Press Start to begin
0.440,7.0000,7.0832,0.0903,0.00,0.00,WAITING,Press Start to begin
0.456,7.0000,7.0832,0.0896,0.00,0.00,WAITING,Press Start to begin
0.471,7.0000,7.0832,0.0889,0.00,0.00,WAITING,Press Start to begin
0.488,7.0000,7.0832,0.0882,0.00,0.00,WAITING,Press Start to begin
0.504,7.0000,7.0832,0.0875,0.00,0.00,WAITING,Press Start to begin
0.551,7.0000,7.0832,0.0852,0.00,0.00,WAITING,Press Start to begin
0.567,7.0000,7.0832,0.0845,0.00,0.00,WAITING,Press Start to begin
